id,price,number_of_reviews,last_review,neighbourhood,name,availability_365,host_id,room_type,latitude,longitude,coords,pais
44050141,403,0,,Belize Islands,Condo in San Pedro · 3 bedrooms · 5 beds · 2 baths,280,88200158,Entire home/apt,17.90715,-87.97328,"17.90715,-87.97328",Belize
44064010,403,0,,Belize Islands,Condo in San Pedro · 3 bedrooms · 4 beds · 2 baths,177,88200158,Entire home/apt,17.89289,-87.97874,"17.89289,-87.97874",Belize
44064094,403,1,2021-07-19,Belize Islands,Condo in San Pedro · 3 bedrooms · 5 beds · 2 baths,248,88200158,Entire home/apt,17.89302,-87.97838,"17.89302,-87.97838",Belize
44064153,403,0,,Belize Islands,Condo in San Pedro · 3 bedrooms · 5 beds · 2 baths,268,88200158,Entire home/apt,17.89468,-87.97728,"17.89468,-87.97728",Belize
44064203,403,1,2022-11-03,Belize Islands,Condo in San Pedro · 3 bedrooms · 4 beds · 2 baths,218,88200158,Entire home/apt,17.89431,-87.97781,"17.89431,-87.97781",Belize
44064247,403,1,2022-10-09,Belize Islands,Condo in San Pedro · 3 bedrooms · 4 beds · 2 baths,233,88200158,Entire home/apt,17.89416,-87.97937,"17.89416,-87.97937",Belize
44677850,3809,0,,Belize Mainland,Boat in Belize City · 3 bedrooms · 3 baths,0,6101757,Entire home/apt,17.50479,-88.19677,"17.50479,-88.19677",Belize
44696694,292,3,2023-05-29,Belize Islands,Resort in San Pedro · ★4.0 · 1 bedroom · 1 private bath,365,93123112,Private room,17.89781,-87.9774,"17.89781,-87.9774",Belize
44899631,159,2,2023-02-07,Belize Islands,Cottage in Caye Caulker · 1 bedroom · 1 bed · 1 bath,319,135893916,Entire home/apt,17.73878,-88.02941,"17.73878,-88.02941",Belize
44951736,250,0,,Stann Creek Mainland,"Home in Placencia, Stann Creek District, Belize · 3 bedrooms · 5 beds · 2 baths",0,362956777,Entire home/apt,16.52578,-88.36916,"16.52578,-88.36916",Belize
45383947,405,6,2023-07-10,Stann Creek Mainland,Cabin in Placencia · ★4.83 · 3 bedrooms · 6 beds · 0 baths,357,76414486,Entire home/apt,16.58403,-88.36409,"16.58403,-88.36409",Belize
45383951,1161,4,2023-05-23,Cayo,Home in Bullet Tree Falls Village · ★5.0 · 7 bedrooms · 14 beds · 7 baths,364,76414486,Entire home/apt,17.16687,-89.12005,"17.16687,-89.12005",Belize
45383952,214,3,2023-02-04,Stann Creek Mainland,Cabin in Stann Creek District · ★3.0 · 2 bedrooms · 2 beds · 0 baths,364,76414486,Entire home/apt,16.93888,-88.22897,"16.93888,-88.22897",Belize
45383953,244,3,2023-02-14,Stann Creek Mainland,Rental unit in Alta Vista · ★5.0 · Studio · 1 bed · 1 bath,364,76414486,Entire home/apt,16.98192,-88.2897,"16.98192,-88.2897",Belize
45383960,274,1,2021-04-07,Belize Islands,Rental unit in San Pedro · 1 bedroom · 1 bed · 0 baths,365,76414486,Entire home/apt,17.90885,-87.97205,"17.90885,-87.97205",Belize
45383962,252,6,2023-02-03,Belize Mainland,Home in Belize City · ★4.50 · 1 bedroom · 1 bed · 0 baths,365,76414486,Entire home/apt,17.51291,-88.23199,"17.51291,-88.23199",Belize
45383966,147,1,2023-04-08,Belize Islands,Cottage in Caye Caulker · 1 bedroom · 1 bed · 1 bath,365,76414486,Entire home/apt,17.73558,-88.03043,"17.73558,-88.03043",Belize
45383968,216,8,2022-12-15,Stann Creek Mainland,Rental unit in Hopkins · ★4.50 · 1 bedroom · 1 bed · 1 bath,365,76414486,Entire home/apt,16.86082,-88.28337,"16.86082,-88.28337",Belize
45383974,264,0,,Stann Creek Mainland,Cabin in Alta Vista · 1 bedroom · 1 bed · 1 bath,364,76414486,Entire home/apt,16.98197,-88.28844,"16.98197,-88.28844",Belize
