id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
922568575438630173,Villa in Placencia · 4 bedrooms · 4 beds · 4 baths,477673831,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.64639438,-88.31838654,Entire home/apt,832,2,0,,,4,280,0,
922647914669535317,Boutique hotel in Belize City · ★5.0 · 1 bedroom · 1 bed · 1 private bath,24731119,Laura,Belize,Belize Mainland,17.499024580725244,-88.186741124958,Private room,110,1,3,2023-09-06,1.96,9,359,3,
922696465490009505,Villa in San Pedro · 3 bedrooms · 3 beds · 2 baths,76414486,Vacasa Belize,Belize,Belize Islands,17.935559316768867,-87.95640521473314,Entire home/apt,314,3,0,,,231,364,0,
922719260138937886,Bungalow in Placencia · 1 bedroom · 2 beds · 1 bath,503459845,Vincent,Stann Creek,Stann Creek Mainland,16.567370913602257,-88.36430750661341,Entire home/apt,365,3,2,2023-08-26,1.46,1,355,2,
923028011496125771,Boutique hotel in Belize City · 1 bedroom · 1 bed · 1 private bath,24731119,Laura,Belize,Belize Mainland,17.49808823813162,-88.18533974732748,Private room,110,1,0,,,9,356,0,
923228884962619487,Rental unit in Caye Caulker · ★5.0 · 2 bedrooms · 2 beds · 2 baths,4161266,Melanie,Belize,Belize Islands,17.76666338067975,-88.02701065269251,Entire home/apt,502,2,5,2023-09-04,2.38,1,343,5,
923352361207335088,Boutique hotel in Belize City · 1 bedroom · 1 bed · 1 private bath,24731119,Laura,Belize,Belize Mainland,17.499008029738675,-88.18587081262038,Private room,110,1,0,,,9,359,0,
923468163651406057,Boutique hotel in Belize City · 1 bedroom · 1 bed · 1 private bath,24731119,Laura,Belize,Belize Mainland,17.497402508377142,-88.18750225657652,Private room,110,1,1,2023-08-03,0.58,9,358,1,
923778629778351744,Boutique hotel in Belize City · 6 bedrooms · 9 beds · 6 baths,24731119,Laura,Belize,Belize Mainland,17.49952,-88.18616,Private room,780,1,0,,,9,353,0,
924085479671185087,Rental unit in San Pedro · 2 bedrooms · 2 beds · 2 baths,165897955,Emily,Belize,Belize Islands,17.90922068129256,-87.97129705131225,Entire home/apt,401,3,0,,,16,164,0,
924558497559572215,Rental unit in San Pedro · 2 bedrooms · 2 beds · 2 baths,165897955,Emily,Belize,Belize Islands,17.91003739697448,-87.97041728675536,Entire home/apt,401,3,0,,,16,287,0,
924582655514662526,Rental unit in San Pedro · 2 bedrooms · 2 beds · 2 baths,165897955,Emily,Belize,Belize Islands,17.909200263352293,-87.97121122062377,Entire home/apt,401,3,0,,,16,193,0,
924589446855034698,Rental unit in San Pedro · 2 bedrooms · 2 beds · 2 baths,165897955,Emily,Belize,Belize Islands,17.907995961626025,-87.97141959263361,Entire home/apt,401,3,0,,,16,129,0,
924595567627906960,Rental unit in San Pedro · 2 bedrooms · 2 beds · 2 baths,165897955,Emily,Belize,Belize Islands,17.90986900856426,-87.97188623259214,Entire home/apt,401,3,1,2023-09-12,1,16,284,1,
925348695754493074,Rental unit in Caye Caulker · Studio · 1 bed · 1 bath,76598410,Natasha,Belize,Belize Islands,17.73809957898757,-88.02995479224413,Private room,76,1,0,,,3,358,0,
925539236028682690,Hotel in Placencia · 3 bedrooms · 4 beds · 2 shared baths,71114574,Britany,Stann Creek,Stann Creek Mainland,16.519932283479164,-88.36829849547156,Private room,894,1,0,,,10,284,0,
925976739096636553,Villa in Placencia · ★5.0 · 2 bedrooms · 4 beds · 3 baths,261868426,Hotels Placencia,Stann Creek,Stann Creek Mainland,16.54561,-88.357262,Entire home/apt,534,2,4,2023-08-27,2.45,62,116,4,
